Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_1016100,"Pf3D7_10_v3:643,558..644,331(-)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0005576;GO:0016020,cytoplasm;extracellular region;membrane,GO:0046872,metal ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1016200,"Pf3D7_10_v3:646,054..647,736(+)","Rab3 GTPase-activating protein non-catalytic subunit, putative",GO:0005737,cytoplasm,GO:0005096;GO:0005515;GO:0046982,GTPase activator activity;protein binding;protein heterodimerization activity,GO:0043087,regulation of GTPase activity,null,null,null,null,null,null,null,null
PF3D7_1016300,"Pf3D7_10_v3:650,898..653,567(-)",GBP130 protein,GO:0016020,membrane,null,null,null,null,GO:0030430;GO:0020030;GO:0005634,host cell cytoplasm;infected host cell surface knob;nucleus,GO:0003729;GO:0005515,mRNA binding;protein binding,null,null,null,null
PF3D7_1016400,"Pf3D7_10_v3:656,709..659,027(-)","serine/threonine protein kinase, FIKK family",GO:0016020;GO:0005739,membrane;mitochondrion,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0006468,protein phosphorylation,null,null,null,null,null,null,2.7.11.1 (Non-specific serine/threonine protein kinase),2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_1016500,"Pf3D7_10_v3:661,742..664,201(-)","Plasmodium exported protein (PHISTc), unknown function",null,null,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_1016600,"Pf3D7_10_v3:665,658..666,654(-)","Plasmodium exported protein (PHISTc), unknown function",null,null,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_1016700,"Pf3D7_10_v3:669,202..671,853(-)","Plasmodium exported protein (PHISTc), unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1016800,"Pf3D7_10_v3:675,293..676,417(-)","Plasmodium exported protein (PHISTc), unknown function",GO:0016020,membrane,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_1016900,"Pf3D7_10_v3:682,182..682,508(-)",early transcribed membrane protein 10.3,null,null,null,null,null,null,GO:0020005,symbiont-containing vacuole membrane,null,null,null,null,null,null
PF3D7_1017000,"Pf3D7_10_v3:685,578..688,862(+)",DNA polymerase delta catalytic subunit,null,null,GO:0003677;GO:0003887;GO:0003676;GO:0000166,DNA binding;DNA-directed DNA polymerase activity;nucleic acid binding;nucleotide binding,null,null,GO:0043625,delta DNA polymerase complex,GO:0003887;GO:0008310,DNA-directed DNA polymerase activity;single-stranded DNA 3'-5' exodeoxyribonuclease activity,GO:0006260,DNA replication,2.7.7.7 (DNA-directed DNA polymerase),2.7.7.7 (DNA-directed DNA polymerase)
PF3D7_1017100,"Pf3D7_10_v3:689,888..690,820(-)",rhoptry neck protein 12,null,null,null,null,null,null,GO:0009986;GO:1990225;GO:0020003,cell surface;rhoptry neck;symbiont-containing vacuole,null,null,GO:0030260,entry into host cell,null,null
PF3D7_1017200,"Pf3D7_10_v3:692,426..694,218(+)","enoyl-CoA hydratase-related protein, putative",GO:0016020,membrane,GO:0003857;GO:0008692;GO:0003860;GO:0050662;GO:0004300,3-hydroxyacyl-CoA dehydrogenase activity;3-hydroxybutyryl-CoA epimerase activity;3-hydroxyisobutyryl-CoA hydrolase activity;coenzyme binding;enoyl-CoA hydratase activity,GO:0006631;GO:0016042,fatty acid metabolic process;lipid catabolic process,null,null,null,null,null,null,4.2.1.17 (Enoyl-CoA hydratase),4.2.1.17 (Enoyl-CoA hydratase)
PF3D7_1017300,"Pf3D7_10_v3:694,840..696,709(-)","golgi re-assembly stacking protein 1, golgi re-assembly stacking protein 2",GO:0016020,membrane,GO:0005515,protein binding,null,null,GO:0005794;GO:0005801,Golgi apparatus;cis-Golgi network,GO:0046983,protein dimerization activity,GO:0007030,Golgi organization,null,null
PF3D7_1017300,"Pf3D7_10_v3:694,840..696,709(-)","golgi re-assembly stacking protein 1, golgi re-assembly stacking protein 2",null,null,GO:0005515,protein binding,null,null,GO:0005794,Golgi apparatus,null,null,null,null,null,null
PF3D7_1017400,"Pf3D7_10_v3:697,970..699,823(-)","phosphomannomutase, putative",GO:0005737,cytoplasm,GO:0004615,phosphomannomutase activity,GO:0009298,GDP-mannose biosynthetic process,null,null,GO:0004615,phosphomannomutase activity,GO:0009298,GDP-mannose biosynthetic process,5.4.2.8 (Phosphomannomutase),5.4.2.8 (Phosphomannomutase)
PF3D7_1017500,"Pf3D7_10_v3:701,746..702,422(+)",myosin essential light chain ELC,null,null,null,null,null,null,GO:0009986;GO:0070258,cell surface;inner membrane pellicle complex,GO:0005515,protein binding,null,null,null,null
PF3D7_1017600,"Pf3D7_10_v3:705,537..708,452(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1017700,"Pf3D7_10_v3:709,507..710,826(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0005622,cytoplasm;intracellular,GO:0005525;GO:0003924;GO:0003743,GTP binding;GTPase activity;translation initiation factor activity,GO:0006412;GO:0006413,translation;translational initiation,null,null,null,null,null,null,null,null
PF3D7_1017800,"Pf3D7_10_v3:711,016..714,658(-)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0016020,cytoplasm;membrane,GO:0000166,nucleotide binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1017900,"Pf3D7_10_v3:715,878..717,437(+)","26S proteasome regulatory subunit p55, putative",null,null,null,null,null,null,GO:0005838,proteasome regulatory particle,GO:0004175,endopeptidase activity,GO:0006511,ubiquitin-dependent protein catabolic process,3.4.25.1 (Proteasome endopeptidase complex),3.4.25.1 (Proteasome endopeptidase complex)
PF3D7_1018000,"Pf3D7_10_v3:718,454..720,136(+)","tRNA pseudouridine synthase, putative",null,null,GO:0003723;GO:0009982,RNA binding;pseudouridine synthase activity,GO:0009451;GO:0006396;GO:0001522,RNA modification;RNA processing;pseudouridine synthesis,GO:0020011,apicoplast,GO:0004730,pseudouridylate synthase activity,GO:0006396,RNA processing,5.4.99.12 (tRNA pseudouridine(38-40) synthase),null
PF3D7_1018100,"Pf3D7_10_v3:720,551..721,399(+)","conserved Plasmodium protein, unknown function",null,null,GO:0000166,nucleotide binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1018200,"Pf3D7_10_v3:721,734..728,331(-)","serine/threonine protein phosphatase 8, putative",null,null,GO:0005509;GO:0016787,calcium ion binding;hydrolase activity,null,null,GO:0005737;GO:0005634,cytoplasm;nucleus,null,null,null,null,3.1.3.16 (Protein-serine/threonine phosphatase),3.1.3.16 (Protein-serine/threonine phosphatase)
PF3D7_1018300,"Pf3D7_10_v3:729,809..732,856(-)","peptidase, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1018400,"Pf3D7_10_v3:734,722..735,738(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1018500,"Pf3D7_10_v3:735,921..736,813(-)","pre-mRNA-splicing factor RDS3, putative",null,null,null,null,null,null,GO:0005686,U2 snRNP,null,null,GO:0000398;GO:0000245,"mRNA splicing, via spliceosome;spliceosomal complex assembly",null,null
PF3D7_1018600,"Pf3D7_10_v3:737,692..743,406(-)","tRNA wybutosine-synthesizing protein, putative",null,null,GO:0008168,methyltransferase activity,GO:0008033,tRNA processing,null,null,null,null,null,null,2.1.1.- (Methyltransferases.);2.1.1.282 (tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase);2.5.1.114 (tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase),"2.5.1.- (Transferring alkyl or aryl groups, other than methyl groups.)"
PF3D7_1018700,"Pf3D7_10_v3:747,028..748,887(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1018800,"Pf3D7_10_v3:750,215..752,665(+)","conserved protein, unknown function",GO:0016021;GO:0016020,integral component of membrane;membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1018900,"Pf3D7_10_v3:752,760..754,910(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1019000,"Pf3D7_10_v3:757,795..765,158(+)","eukaryotic translation initiation factor subunit eIF2A, putative",null,null,GO:0005515,protein binding,null,null,null,null,GO:0003729,mRNA binding,null,null,null,null
PF3D7_1019100,"Pf3D7_10_v3:766,168..771,954(-)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1019200,"Pf3D7_10_v3:773,531..774,490(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1019300,"Pf3D7_10_v3:774,929..780,487(-)","zinc finger protein, putative",null,null,GO:0046872,metal ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1019400,"Pf3D7_10_v3:786,503..787,008(+)","60S ribosomal protein L30e, putative",null,null,null,null,null,null,GO:0022625;GO:0005634,cytosolic large ribosomal subunit;nucleus,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1019500,"Pf3D7_10_v3:787,745..795,220(-)","conserved Plasmodium membrane protein, unknown function",GO:0016021,integral component of membrane,GO:0005524;GO:0015662;GO:0000287;GO:0000166,"ATP binding;ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism;magnesium ion binding;nucleotide binding",GO:0006812;GO:0008152,cation transport;metabolic process,null,null,null,null,null,null,null,null
PF3D7_1019500,"Pf3D7_10_v3:787,745..795,220(-)","conserved Plasmodium membrane protein, unknown function",null,null,GO:0000166,nucleotide binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1019600,"Pf3D7_10_v3:796,291..799,923(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1019700,"Pf3D7_10_v3:800,278..803,502(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1019800,"Pf3D7_10_v3:804,328..807,582(-)","tRNA methyltransferase, putative",null,null,null,null,null,null,null,null,null,null,null,null,2.1.1.61 (tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase),2.8.1.- (Sulfurtransferases.)
PF3D7_1019900,"Pf3D7_10_v3:808,618..808,992(-)",autophagy-related protein 8,null,null,null,null,null,null,GO:0020011;GO:0031410;GO:0005829;GO:0016020,apicoplast;cytoplasmic vesicle;cytosol;membrane,GO:0005515,protein binding,GO:0042493,response to drug,null,null
PF3D7_1020000,"Pf3D7_10_v3:811,106..813,484(-)","RNA-binding protein 34, putative",null,null,GO:0003676,nucleic acid binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1020100,"Pf3D7_10_v3:814,352..814,957(-)","flagellar outer arm dynein-associated protein, putative",GO:0005868,cytoplasmic dynein complex,null,null,GO:0007018,microtubule-based movement,null,null,null,null,null,null,null,null
PF3D7_1020200,"Pf3D7_10_v3:816,066..818,972(-)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1020300,"Pf3D7_10_v3:819,830..822,139(+)","cytoplasmic dynein intermediate chain, putative",null,null,GO:0005515,protein binding,null,null,GO:0005868,cytoplasmic dynein complex,GO:0003777,microtubule motor activity,GO:0007018,microtubule-based movement,null,null
PF3D7_1020400,"Pf3D7_10_v3:822,602..824,593(-)","rRNA (cytosine-C(5))-methyltransferase, putative",null,null,GO:0008168,methyltransferase activity,null,null,GO:0005730,nucleolus,GO:0009383,rRNA (cytosine-C5-)-methyltransferase activity,null,null,2.1.1.- (Methyltransferases.);2.1.1.12 (Methionine S-methyltransferase),2.1.1.- (Methyltransferases.)
PF3D7_1020500,"Pf3D7_10_v3:825,451..826,971(+)","ribosomal silencing factor RsfS, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1020600,"Pf3D7_10_v3:827,488..834,231(+)","conserved Plasmodium membrane protein, unknown function",GO:0016020;GO:0005634,membrane;nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1020700,"Pf3D7_10_v3:835,292..839,700(+)","N-acetyltransferase, GNAT family, putative",null,null,null,null,null,null,null,null,null,null,null,null,2.3.1.- (Transferring groups other than amino-acyl groups.);2.3.1.1 (Amino-acid N-acetyltransferase);2.3.1.48 (Histone acetyltransferase),2.3.1.- (Transferring groups other than amino-acyl groups.)
PF3D7_1020800,"Pf3D7_10_v3:840,212..843,403(+)",dihydrolipoamide acyltransferase component E2,null,null,GO:0016746,"transferase activity, transferring acyl groups",GO:0008152,metabolic process,GO:0020011;GO:0016020;GO:0045254,apicoplast;membrane;pyruvate dehydrogenase complex,GO:0004742;GO:0004739,dihydrolipoyllysine-residue acetyltransferase activity;pyruvate dehydrogenase (acetyl-transferring) activity,GO:0006086;GO:0006633;GO:0006099,acetyl-CoA biosynthetic process from pyruvate;fatty acid biosynthetic process;tricarboxylic acid cycle,2.3.1.12 (Dihydrolipoyllysine-residue acetyltransferase),2.3.1.12 (Dihydrolipoyllysine-residue acetyltransferase)
PF3D7_1020900,"Pf3D7_10_v3:845,086..846,192(-)",ADP-ribosylation factor,GO:0005622,intracellular,GO:0005525,GTP binding,GO:0006886,intracellular protein transport,GO:0005794;GO:0020020,Golgi apparatus;food vacuole,GO:0005525,GTP binding,GO:0006471,protein ADP-ribosylation,null,null
PF3D7_1021000,"Pf3D7_10_v3:848,859..850,404(-)","conserved protein, unknown function",null,null,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_1021100,"Pf3D7_10_v3:851,000..856,285(-)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1021200,"Pf3D7_10_v3:857,673..859,742(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1021300,"Pf3D7_10_v3:860,960..862,449(-)","apicoplast integral membrane protein, putative",null,null,null,null,null,null,GO:0020011;GO:0016021,apicoplast;integral component of membrane,null,null,null,null,null,null
PF3D7_1021400,"Pf3D7_10_v3:863,907..866,742(+)","endomembrane protein 70, putative",GO:0016021,integral component of membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1021500,"Pf3D7_10_v3:867,635..869,677(-)","ATP-dependent RNA helicase ROK1, putative",null,null,GO:0005524;GO:0003676,ATP binding;nucleic acid binding,null,null,GO:0020011,apicoplast,GO:0004004,ATP-dependent RNA helicase activity,GO:0030490,maturation of SSU-rRNA,3.6.4.13 (RNA helicase),3.6.4.13 (RNA helicase)
PF3D7_1021600,"Pf3D7_10_v3:871,095..871,886(+)","deoxyribose-phosphate aldolase, putative",GO:0005737,cytoplasm,GO:0004139;GO:0016829,deoxyribose-phosphate aldolase activity;lyase activity,GO:0009264,deoxyribonucleotide catabolic process,GO:0005622,intracellular,GO:0004139,deoxyribose-phosphate aldolase activity,GO:0006098,pentose-phosphate shunt,4.1.2.4 (Deoxyribose-phosphate aldolase),4.1.2.4 (Deoxyribose-phosphate aldolase)
PF3D7_1021700,"Pf3D7_10_v3:873,208..894,869(-)","conserved Plasmodium membrane protein, unknown function",GO:0016021;GO:0005743;GO:0005746;GO:0005739,integral component of membrane;mitochondrial inner membrane;mitochondrial respiratory chain;mitochondrion,GO:0008137,NADH dehydrogenase (ubiquinone) activity,GO:0042773;GO:0006810,ATP synthesis coupled electron transport;transport,null,null,null,null,null,null,null,null
PF3D7_1021800,"Pf3D7_10_v3:896,865..903,608(-)",schizont egress antigen-1,null,null,null,null,null,null,GO:0020036;GO:0033644;GO:0020005,Maurer's cleft;host cell membrane;symbiont-containing vacuole membrane,null,null,null,null,null,null
PF3D7_1021900,"Pf3D7_10_v3:905,473..912,345(-)","PHAX domain-containing protein, putative",null,null,GO:0005515,protein binding,null,null,GO:0005634,nucleus,GO:0003729,mRNA binding,null,null,null,null
PF3D7_1022000,"Pf3D7_10_v3:919,772..924,213(+)","RNA-binding protein, putative",null,null,GO:0003676,nucleic acid binding,null,null,null,null,GO:0003729,mRNA binding,null,null,null,null
PF3D7_1022100,"Pf3D7_10_v3:925,280..926,230(-)","methyltransferase, putative",null,null,null,null,null,null,null,null,null,null,null,null,2.1.1.43 (Histone-lysine N-methyltransferase),2.1.1.- (Methyltransferases.)
PF3D7_1022200,"Pf3D7_10_v3:926,831..929,020(-)","conserved Plasmodium membrane protein, unknown function",null,null,null,null,null,null,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_1022300,"Pf3D7_10_v3:932,697..934,381(+)","ZIP domain-containing protein, putative",GO:0016020,membrane,GO:0046873,metal ion transmembrane transporter activity,GO:0030001;GO:0055085,metal ion transport;transmembrane transport,GO:0005886,plasma membrane,GO:0005381;GO:0046873;GO:0005385,iron ion transmembrane transporter activity;metal ion transmembrane transporter activity;zinc ion transmembrane transporter activity,null,null,null,null
PF3D7_1022400,"Pf3D7_10_v3:939,938..942,234(-)",serine/arginine-rich splicing factor 4,null,null,GO:0003676,nucleic acid binding,null,null,GO:0005634,nucleus,null,null,GO:0008380;GO:0000375,"RNA splicing;RNA splicing, via transesterification reactions",null,null
PF3D7_1022500,"Pf3D7_10_v3:944,398..946,089(-)","citrate synthase, mitochondrial, putative",null,null,GO:0046912,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",null,null,GO:0005739,mitochondrion,GO:0004108,citrate (Si)-synthase activity,GO:0046356;GO:0006101;GO:0006099,acetyl-CoA catabolic process;citrate metabolic process;tricarboxylic acid cycle,2.3.3.1 (Citrate (Si)-synthase),2.3.3.1 (Citrate (Si)-synthase)
